Account_No,Month_ID,Product_Category, Marketing Spend 
99696211,132,Services,"2,129,525"
99696211,136,Services,"1,960,884"
22525115,128,Services,"1,720,383"
99696211,131,Services,"1,680,485"
72828522,135,Services,"1,476,959"
99696211,129,Services,"1,359,416"
99696211,126,Services,"1,337,950"
99696211,138,Services,"1,236,157"
99696211,133,Services,"1,036,849"
22525115,131,Services,"1,025,520"
22525115,137,Services,"1,024,261"
99696211,122,Services,"895,616"
30606604,138,Services,"878,623"
99696211,130,Services,"877,030"
55252101,136,Services,"854,925"
22525115,138,Services,"853,331"
99696211,135,Services,"821,995"
30606604,137,Services,"812,031"
22525115,130,Services,"781,023"
22525115,123,Services,"750,082"
70202603,131,Services,"720,499"
72828522,134,Services,"711,542"
99696211,134,Services,"689,057"
22525115,135,Services,"673,544"
41313520,138,Services,"662,646"
22525115,132,Services,"662,616"
41313520,137,Services,"659,983"
22525115,134,Services,"620,210"
67676520,135,Services,"603,680"
99696211,128,Services,"595,871"
99696211,137,Services,"591,358"
70202603,138,Services,"573,034"
30606604,136,Services,"571,134"
99696211,127,Services,"562,501"
22525115,124,Services,"561,441"
72828522,137,Services,"556,473"
22525115,121,Services,"554,475"
55252101,135,Services,"541,913"
99696211,124,Services,"536,847"
99696211,123,Services,"528,670"
99696211,120,Services,"511,381"
72828522,133,Services,"509,534"
80707184,125,Services,"487,316"
28585106,134,Services,"485,506"
55252101,138,Online Products,"475,975"
22525115,127,Services,"466,946"
99696211,125,Services,"461,980"
72828522,130,Services,"449,508"
22525115,133,Services,"447,864"
22525115,126,Services,"446,432"
55252101,137,Services,"441,017"
99696211,121,Services,"428,381"
22525115,136,Services,"424,845"
28585106,137,Services,"422,897"
55252101,138,Services,"422,254"
72828522,136,Services,"417,371"
55252101,137,Online Products,"409,154"
97171523,138,Services,"404,528"
8686522,138,Services,"394,189"
89393970,128,Services,"391,818"
38686957,131,Services,"391,233"
22525115,129,Services,"387,836"
97878594,135,Services,"380,347"
70202603,130,Services,"377,610"
89393970,122,Services,"376,971"
97878594,130,Services,"375,899"
72828522,127,Services,"375,154"
79292522,136,Services,"373,550"
45555157,133,Services,"371,811"
30606604,132,Services,"367,294"
30606604,124,Services,"363,600"
72828522,122,Services,"357,403"
30606604,133,Services,"354,029"
72626521,130,Services,"353,946"
54949520,137,Services,"348,174"
97878594,134,Services,"347,309"
28585106,123,Services,"338,153"
8686522,121,Services,"336,745"
97878594,131,Services,"336,260"
97171523,134,Services,"332,781"
22525115,120,Services,"328,394"
55252101,133,Services,"325,718"
30606604,123,Services,"322,336"
22525115,125,Services,"318,793"
28282143,137,Services,"313,735"
28282143,122,Services,"312,651"
72828522,121,Services,"312,480"
72828522,131,Services,"310,215"
72626521,129,Services,"310,192"
8686522,125,Services,"306,441"
54949520,134,Services,"306,000"
67676520,128,Services,"305,421"
72828522,128,Services,"303,085"
55252101,135,Online Products,"301,513"
22525115,122,Services,"298,939"
89393970,135,Services,"295,473"
8686522,131,Services,"292,508"
30606604,128,Services,"289,634"
8686522,123,Services,"289,178"
38686957,121,Services,"286,344"
67676520,134,Services,"285,524"
3333165,137,Services,"283,343"
97878594,137,Services,"283,093"
55252101,131,Services,"280,778"
54949520,136,Services,"274,602"
72828522,124,Services,"267,445"
38686957,138,Services,"262,297"
30606604,129,Services,"258,559"
55252101,136,Online Products,"258,356"
70202603,136,Services,"257,923"
38686957,134,Services,"255,386"
97878594,132,Services,"254,561"
89393970,133,Services,"253,768"
72828522,125,Services,"253,567"
28282143,128,Services,"252,890"
30606604,135,Services,"252,882"
97878594,123,Services,"251,221"
38686957,129,Services,"250,855"
30606604,131,Services,"249,811"
67676520,137,Services,"249,724"
54949520,129,Services,"240,974"
8686522,132,Services,"236,600"
72626521,134,Services,"236,222"
97878594,138,Services,"231,953"
97878594,126,Services,"227,638"
72828522,126,Services,"220,785"
30606604,127,Services,"220,032"
67676520,133,Services,"219,376"
70202603,132,Services,"217,035"
30606604,126,Services,"216,726"
89393970,129,Services,"216,502"
72828522,132,Services,"216,502"
12727521,137,Services,"216,171"
67676520,132,Services,"215,481"
87373132,137,Services,"214,982"
55252101,125,Services,"211,999"
72626521,127,Services,"211,878"
67676520,121,Services,"211,174"
30606604,134,Services,"209,624"
45555157,132,Services,"207,227"
8686522,128,Services,"206,866"
89393970,137,Services,"203,529"
45555157,138,Services,"202,337"
18888143,130,Services,"201,362"
28585106,135,Services,"199,568"
97171523,136,Services,"199,209"
95353119,138,Services,"197,265"
28282143,131,Services,"195,825"
79292522,132,Services,"195,507"
97171523,135,Services,"195,444"
55252101,126,Services,"195,406"
72626521,124,Services,"194,928"
54949520,131,Services,"194,695"
