Account_No,Month_ID,Product_Category,Revenue
99696211,137,Services,1768077
99696211,138,Services,1767617
99696211,135,Services,1734230
99696211,134,Services,1687976
99696211,136,Services,1686309
99696211,133,Services,1534484
99696211,132,Services,1469334
41313520,138,Services,1444365
99696211,131,Services,1428391
99696211,130,Services,1420789
99696211,129,Services,1318585
99696211,128,Services,1298809
55252101,138,Services,1266489
22525115,135,Services,1192132
55252101,138,Online Products,1189732
22525115,134,Services,1172187
99696211,127,Services,1169915
99696211,126,Services,1150618
22525115,133,Services,1137383
22525115,137,Services,1136867
99696211,125,Services,1136470
22525115,132,Services,1106421
22525115,136,Services,1091611
22525115,138,Services,1075124
99696211,124,Services,1025287
99696211,123,Services,1004344
99696211,122,Services,958304
99696211,121,Services,955151
22525115,131,Services,953725
22525115,128,Services,946196
22525115,129,Services,930649
22525115,130,Services,929343
99696211,120,Services,915325
22525115,124,Services,915071
22525115,125,Services,905371
72828522,137,Services,901435
22525115,123,Services,900080
55252101,137,Online Products,891880
55252101,137,Services,890745
72828522,136,Services,872170
72828522,135,Services,871355
22525115,126,Services,866010
72828522,134,Services,832424
22525115,127,Services,831049
22525115,122,Services,785960
22525115,121,Services,770684
30606604,138,Services,755530
72828522,133,Services,754101
30606604,137,Services,747030
22525115,120,Services,732238
55252101,136,Online Products,728540
55252101,135,Online Products,672188
41313520,137,Services,659920
55252101,136,Services,649689
30606604,136,Services,633957
30606604,135,Services,581605
72828522,132,Services,575889
72828522,131,Services,533424
72828522,130,Services,530371
97878594,138,Services,526319
30606604,134,Services,526017
55252101,135,Services,520230
30606604,133,Services,509720
30606604,131,Services,501956
30606604,132,Services,499400
72828522,129,Services,496974
30606604,130,Services,485850
72828522,128,Services,460653
30606604,129,Services,457504
72828522,126,Services,450300
30606604,128,Services,448915
67676520,138,Services,437854
30606604,126,Services,433351
67676520,137,Services,421941
72828522,125,Services,418254
30606604,125,Services,418077
8686522,138,Services,409916
55252101,134,Online Products,409872
30606604,127,Services,400292
30606604,124,Services,399893
72828522,127,Services,397633
72828522,123,Services,397186
30606604,123,Services,393160
97878594,137,Services,390538
72828522,124,Services,390467
70202603,132,Services,386292
97878594,136,Services,383436
99696211,138,Online Products,383253
67676520,136,Services,382741
97878594,135,Services,380319
67676520,135,Services,380317
67676520,123,Online Products,379920
79292522,133,Services,379175
70202603,138,Services,378201
70202603,130,Services,377590
70202603,131,Services,374640
70202603,137,Services,371792
97878594,134,Services,371523
55252101,134,Services,370519
70202603,133,Services,370371
70202603,129,Services,365945
8686522,137,Services,362234
70202603,136,Services,361047
79292522,132,Services,359674
70202603,135,Services,358385
70202603,128,Services,355137
99696211,137,Online Products,353328
70202603,134,Services,351364
72828522,122,Services,350170
8686522,133,Services,348030
30606604,122,Services,346604
8686522,135,Services,341391
8686522,136,Services,338419
55252101,132,Services,336110
8686522,132,Services,335845
89393970,138,Services,334666
99696211,136,Online Products,333843
8686522,134,Services,329962
30606604,121,Services,326804
55252101,131,Services,325648
79292522,135,Services,324406
