Account_No,Month_ID,Product_Category,Target
99696211,143,Online Products,2984094.12
99696211,142,Online Products,2839413.36
99696211,141,Online Products,2305564.8
99696211,140,Online Products,2234395.8
99696211,139,Online Products,1750056
99696211,138,Online Products,1650417.72
22525115,137,Online Products,1367080.092
99696211,134,Online Products,1216131
22525115,136,Online Products,1211952.168
30606604,143,Online Products,1198774.92
99696211,133,Online Products,1195149.48
22525115,135,Online Products,1192919.784
22525115,143,Online Products,1167004.44
30606604,142,Online Products,1141465.08
55252101,143,Online Products,1123163.16
55252101,142,Online Products,1077750.24
22525115,142,Online Products,1040189.64
99696211,132,Online Products,1034580.96
22525115,140,Online Products,935166.96
30606604,141,Online Products,927373.44
55252101,143,Services,916395.48
8686522,137,Online Products,904131.06
22525115,141,Online Products,897336.72
55252101,141,Online Products,880917.24
30606604,140,Online Products,878288.04
55252101,142,Services,854778.96
72828522,143,Online Products,844698.12
55252101,140,Online Products,839473.32
22525115,138,Online Products,834523.2
99696211,143,Services,826412.16
38686957,143,Online Products,814422.84
72828522,142,Online Products,809383.68
67676520,143,Online Products,803356.68
8686522,136,Online Products,800503.956
22525115,139,Online Products,791031.36
8686522,135,Online Products,789674.004
97878594,143,Online Products,774793.32
38686957,142,Online Products,772164.96
99696211,142,Services,770846.16
70202603,143,Online Products,768204.36
67676520,142,Online Products,767381.16
97878594,142,Online Products,735794.64
70202603,142,Online Products,730894.08
30606604,139,Online Products,688257.36
55252101,141,Services,683048.52
8686522,143,Online Products,676756.92
72828522,140,Online Products,671445.6
55252101,139,Online Products,661424.4
72828522,141,Online Products,660823.8
70404109,137,Online Products,657189.876
72828522,143,Services,651671.16
79292522,143,Online Products,650899.2
30606604,138,Online Products,649430.04
99696211,137,Online Products,636258.252
99696211,136,Online Products,636258.252
99696211,135,Online Products,636258.252
55252101,140,Services,635754.84
55252101,138,Online Products,627758.04
38686957,141,Online Products,625209.48
67676520,141,Online Products,625009.56
79292522,142,Online Products,621346.32
22525115,134,Online Products,618240
99696211,141,Services,615977.88
8686522,140,Online Products,614349.96
72828522,142,Services,607854.24
22525115,133,Online Products,604716.84
8686522,142,Online Products,599594.52
97878594,141,Online Products,596535.24
70202603,141,Online Products,593434.8
38686957,140,Online Products,590038.68
70404109,136,Online Products,583015.272
99696211,140,Services,573327.72
70404109,135,Online Products,573184.92
70404109,143,Online Products,566823.6
97878594,140,Online Products,563735.76
8686522,138,Online Products,550036.2
72828522,139,Online Products,528507.84
67676520,140,Online Products,525341.04
22525115,132,Online Products,524796.72
8686522,139,Online Products,520087.68
8686522,141,Online Products,515952.36
12727521,137,Online Products,513735.852
70404109,142,Online Products,507666.6
79292522,141,Online Products,505810.2
72828522,138,Online Products,501075.12
18888143,137,Online Products,496898.304
55252101,139,Services,490497
72828522,141,Services,485732.52
55252101,134,Online Products,483882
55252101,133,Online Products,481013.4
30606604,134,Online Products,480451.44
79292522,140,Online Products,480017.16
30606604,133,Online Products,472652.88
89393970,137,Online Products,471921.156
38686957,139,Online Products,460937.4
25555521,143,Online Products,457718.52
12727521,136,Online Products,455410.62
55252101,138,Services,454983.48
72828522,140,Services,452100.6
70404109,140,Online Products,451158.12
12727521,135,Online Products,448309.176
12727521,143,Online Products,442379.28
99696211,139,Services,442333.92
18888143,136,Online Products,441056.364
97878594,139,Online Products,440916
70404109,141,Online Products,439572
98080522,137,Online Products,438257.484
25555521,142,Online Products,435025.92
38686957,138,Online Products,433470.24
18888143,135,Online Products,433212.36
18888143,143,Online Products,429076.2
97171523,143,Online Products,422282.28
28585106,137,Online Products,418748.148
89393970,136,Online Products,418525.38
97878594,138,Online Products,415179.24
67676520,139,Online Products,412606.32
89393970,135,Online Products,411692.4
99696211,138,Services,410307.24
70202603,140,Online Products,409340.4
8686522,134,Online Products,408438.24
30606604,132,Online Products,408374.4
55252101,132,Online Products,407712.48
89393970,143,Online Products,406753.2
97171523,142,Online Products,404945.52
70404109,138,Online Products,401905.56
8686522,133,Online Products,400044.12
87373132,143,Online Products,397493.88
12727521,142,Online Products,394585.8
95353119,143,Online Products,393754.2
67676520,138,Online Products,390276.6
98080522,136,Online Products,387773.4
74848132,143,Online Products,386701.56
18888143,142,Online Products,385439.04
72828522,134,Online Products,383408.76
98080522,135,Online Products,382953.9
70404109,139,Online Products,381456.6
72828522,133,Online Products,380441.88
30606604,143,Services,379167.6
87373132,142,Online Products,377009.64
79292522,139,Online Products,376835.76
95353119,142,Online Products,374139.36
28585106,136,Online Products,371547.036
74848132,142,Online Products,368094.72
97171523,143,Services,365360.52
28585106,135,Online Products,365179.584
89393970,142,Online Products,363672.96
28585106,143,Online Products,361296.6
